ВРЕМЯ,СУММА,КАТЕГОРИЯ
2017-11-23 21:06:00,-150.0,Еда
2017-11-24 00:35:00,-19200.0,Путешествия
2017-11-24 14:12:00,-230.0,Еда
2017-11-24 14:12:00,-105.0,Компьютер и программы
2017-11-24 20:22:00,-2130.0,Еда
2017-11-24 20:45:00,-1615.0,Обучение
2017-11-24 21:46:00,-10000.0,Подарки
2017-11-25 12:26:00,-782.0,Комплектующие
2017-11-25 14:25:00,-5462.0,Компьютер и программы
2017-11-25 17:36:00,-8200.0,Спорт
2017-11-25 19:09:00,-3427.0,Одежда и обувь
2017-11-25 19:32:00,-1159.0,Еда
2017-11-25 20:31:00,-1300.0,Одежда и обувь
2017-11-25 21:21:00,-655.0,Дом
2017-11-25 21:21:00,-1200.0,Дом
2017-11-27 00:06:00,-265.0,Транспорт
2017-11-27 00:06:00,-11040.0,Спорт
2017-11-27 00:06:00,-2700.0,Спорт
2017-11-27 00:35:00,-233.0,Транспорт
2017-11-27 16:25:00,-6280.0,Путешествия
2017-11-27 19:14:00,-2377.0,Еда
2017-11-28 11:26:00,-831.0,Дом
2017-11-28 16:46:00,-1692.0,Еда
2017-11-29 17:14:00,-279.0,Транспорт
2017-11-29 17:14:00,-2600.0,Спорт
2017-11-29 17:14:00,-288.0,Транспорт
2017-11-30 00:35:00,-650.0,Развлечения
2017-11-30 20:19:00,-270.0,Еда
2017-11-30 20:19:00,-557.0,Еда
2017-12-01 15:29:00,-773.0,Еда
2017-12-02 13:39:00,-658.0,Транспорт
2017-12-02 17:17:00,-2513.0,Обучение
2017-12-03 13:59:00,-3000.0,Путешествия
2017-12-03 18:37:00,-3645.0,Еда
2017-12-04 17:19:00,-261.0,Транспорт
2017-12-04 17:19:00,-2800.0,Спорт
2017-12-04 17:19:00,-267.0,Транспорт
2017-12-04 23:46:00,-2885.0,Обучение
2017-12-05 17:51:00,-220.0,Еда
2017-12-05 21:59:00,23173.0,Доходы
2017-12-06 01:22:00,-28704.0,Комплектующие
2017-12-06 16:39:00,-230.0,Еда
2017-12-06 19:26:00,518.0,Доходы
2017-12-06 19:26:00,2904.0,Доходы
2017-12-06 19:26:00,11093.0,Доходы
2017-12-06 19:26:00,13009.0,Доходы
2017-12-06 19:26:00,12733.0,Доходы
2017-12-06 19:26:00,70638.0,Доходы
2017-12-06 19:26:00,-788.0,Еда
2017-12-07 14:48:00,-180.0,Еда
2017-12-08 13:28:00,2559.0,Доходы
2017-12-08 20:01:00,1500.0,Доходы
2017-12-09 00:09:00,-200.0,Еда
2017-12-09 17:58:00,-3700.0,Дом
2017-12-09 19:08:00,-285.0,Еда
2017-12-11 01:21:00,-189.0,Обучение
2017-12-11 19:37:00,-560.0,Еда
2017-12-11 19:37:00,-290.0,Здоровье
2017-12-12 01:21:00,-1900.0,Еда
2017-12-12 14:15:00,12500.0,Доходы
2017-12-12 20:28:00,-1099.0,Обучение
2017-12-12 20:28:00,-500.0,Транспорт
2017-12-13 16:38:00,-70000.0,Дом
2017-12-13 16:38:00,-17500.0,Дом
2017-12-13 17:24:00,-588.0,Еда
2017-12-13 17:24:00,-178.0,Еда
2017-12-13 18:17:00,-1950.0,Украшения
2017-12-14 13:23:00,1700.0,Доходы
2017-12-14 20:45:00,-500.0,Еда
2017-12-15 19:40:00,-265.0,Дом
2017-12-15 19:40:00,-780.0,Еда
